,movie_title,release_date,genre,avg_rating,prod_budget,domestic_gross,global_gross,release_month,ROI,global_gross_millions,prod_budget_millions,budget_category,rating_category,roi_category
2715,Beverly Hills Cop,1984-12-05,action,7.3,15000000,234760478,316300000,Dec,20.086666666666666,316.3,15.0,Low Budget,High Rating,High ROI
1166,The Cotton Club,1984-12-14,crime,6.5,48000000,25928721,25928721,Dec,-0.4598183125,25.93,48.0,High Budget,Moderate Rating,Low ROI
1230,Dune,1984-12-14,action,6.3,45000000,27447471,27503491,Dec,-0.3888113111111111,27.5,45.0,High Budget,Moderate Rating,Low ROI
1945,A Passage to India,1984-12-14,adventure,7.3,27500000,27187653,27187896,Dec,-0.011349236363636364,27.19,27.5,Moderate Budget,High Rating,Low ROI
2994,Witness,1985-02-08,drama,7.4,12000000,65532576,65532576,Feb,4.461048,65.53,12.0,Low Budget,High Rating,High ROI
3168,The Last Dragon,1985-03-22,action,6.8,10000000,33000000,33000447,Mar,2.3000447,33.0,10.0,Low Budget,Moderate Rating,High ROI
2398,Ladyhawke,1985-04-12,adventure,6.9,20000000,18400000,18400000,Apr,-0.08,18.4,20.0,Moderate Budget,High Rating,Low ROI
1259,Rambo: First Blood Part II,1985-05-22,action,6.5,44000000,150415432,300400000,May,5.827272727272727,300.4,44.0,High Budget,Moderate Rating,High ROI
1766,A View to a Kill,1985-05-24,action,6.3,30000000,50327960,152627960,May,4.087598666666667,152.63,30.0,Moderate Budget,Moderate Rating,High ROI
2815,Brazil,1985-05-31,drama,7.9,15000000,9929135,9934484,May,-0.33770106666666666,9.93,15.0,Low Budget,High Rating,Low ROI
2110,Lifeforce,1985-06-21,action,6.1,25000000,11603545,11603545,Jun,-0.5358582,11.6,25.0,Moderate Budget,Moderate Rating,Low ROI
1964,Return to Oz,1985-06-21,adventure,6.7,27000000,10618813,10618813,Jun,-0.6067106296296296,10.62,27.0,Moderate Budget,Moderate Rating,Low ROI
2604,Red Sonja,1985-06-28,action,5.1,17900000,6905861,6908640,Jun,-0.6140424581005587,6.91,17.9,Moderate Budget,Low Rating,Low ROI
3522,Pale Rider,1985-06-28,drama,7.3,6900000,41410568,41410568,Jun,5.001531594202898,41.41,6.9,Low Budget,High Rating,High ROI
3885,Day of the Dead,1985-06-30,horror,7.1,3500000,5804262,34004262,Jun,8.715503428571429,34.0,3.5,Low Budget,High Rating,High ROI
2493,Back to the Future,1985-07-03,adventure,8.5,19000000,212259762,385510132,Jul,19.290006947368422,385.51,19.0,Moderate Budget,High Rating,High ROI
1990,Silverado,1985-07-10,action,7.2,26000000,33200000,33200000,Jul,0.27692307692307694,33.2,26.0,Moderate Budget,High Rating,Moderate ROI
3161,Mad Max Beyond Thunderdome,1985-07-10,action,6.2,10000000,36230219,36230219,Jul,2.6230219,36.23,10.0,Low Budget,Moderate Rating,High ROI
3811,The Return of the Living Dead,1985-08-16,comedy,7.3,4000000,14237880,14238634,Aug,2.5596585,14.24,4.0,Low Budget,High Rating,High ROI
3776,After Hours,1985-09-13,comedy,7.6,4500000,10609321,10609321,Sep,1.357626888888889,10.61,4.5,Low Budget,High Rating,Moderate ROI
3201,Invasion U.S.A.,1985-09-27,action,5.4,10000000,17536256,17536256,Sep,0.7536256,17.54,10.0,Low Budget,Low Rating,Moderate ROI
3163,Commando,1985-10-04,action,6.7,10000000,35073978,35078913,Oct,2.5078913,35.08,10.0,Low Budget,Moderate Rating,High ROI
3493,Silver Bullet,1985-10-11,horror,6.4,7000000,10803211,10803211,Oct,0.5433158571428571,10.8,7.0,Low Budget,Moderate Rating,Moderate ROI
3934,Krush Groove,1985-10-25,comedy,6.4,3000000,11052713,11052713,Oct,2.6842376666666667,11.05,3.0,Low Budget,Moderate Rating,High ROI
4079,Subway,1985-11-06,thriller,6.5,2000000,390659,1663296,Nov,-0.168352,1.66,2.0,Low Budget,Moderate Rating,Low ROI
